# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
61 -0.13828233533053122 0.6958753505641181 0.6912084430901865 -0.13735494317148078 15.30980110168457 6.57078218460083 100.4317398071289 1 images/loop_0060.png

62 -0.13207160694701892 0.6967890672268653 0.6926791048019107 -0.13129259005126837 14.943405151367188 6.585975646972656 99.4900894165039 1 images/loop_0061.png

63 -0.12507230397352995 0.6977540824857352 0.6942686584273222 -0.1244475354467448 14.525253295898438 6.603480339050293 98.78467559814453 1 images/loop_0062.png

64 -0.1174042764287124 0.6987320609419939 0.6959284227734319 -0.11693320000790264 14.06094741821289 6.623135089874268 98.33511352539062 1 images/loop_0063.png

65 -0.10925540109270997 0.6996802237650388 0.6975994485872862 -0.10893048762807467 13.560632705688477 6.644572734832764 98.13640594482422 1 images/loop_0064.png

66 -0.10082357787139241 0.7005622638067742 0.6992284312305364 -0.10063161349209371 13.035698890686035 6.667344570159912 98.16159057617188 1 images/loop_0065.png

67 -0.09227012802838698 0.7013540285594663 0.7007774016106854 -0.09219427036865513 12.495918273925781 6.691038131713867 98.3709716796875 1 images/loop_0066.png

68 -0.08370206963988336 0.7020431580503993 0.7022248245632573 -0.083723733431592 11.948116302490234 6.715344429016113 98.72122192382812 1 images/loop_0067.png

69 -0.07517649151640073 0.7026255228337265 0.7035618608414654 -0.0752766747087823 11.39623737335205 6.74007511138916 99.1707992553711 1 images/loop_0068.png

70 -0.06671299203158562 0.7031017062490728 0.7047874692386588 -0.06687294346746431 10.841911315917969 6.765135765075684 99.681396484375 1 images/loop_0069.png

71 -0.05830631190062965 0.7034740354444935 0.7059047353090518 -0.05850777825420539 10.285177230834961 6.790505409240723 100.21728515625 1 images/loop_0070.png

72 -0.049936505915456474 0.7037449689280892 0.7069180796509141 -0.05016166612086992 9.725051879882812 6.81620979309082 100.7435073852539 1 images/loop_0071.png

